,Artist,Genres,Popularity,Followers
273,Baroness,"['alternative metal', 'mathcore', 'post rock', 'post-doom metal', 'post-metal', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']",54,98350.0
274,Bell X1,"['irish rock', 'melancholia']",49,21614.0
275,Audra Mae,['alternative roots rock'],51,9777.0
276,Isak Danielson,"['melodipop', 'swedish folk pop', 'swedish idol pop']",44,5549.0
277,Mystery Jets,"['alt-indie rock', 'alternative dance', 'britpop', 'dance-punk', 'garage rock', 'indie rock', 'indietronica', 'modern rock', 'new rave']",54,85443.0
278,Darlia,['alt-indie rock'],40,12523.0
279,Wilkinson,"['deep groove house', 'drum and bass', 'house', 'tropical house']",63,62385.0
280,RÜFÜS DU SOL,"['edm', 'electronic trap', 'indie poptimism', 'indietronica', 'tropical house', 'vapor soul', 'vapor twitch']",63,49112.0
281,Axel Schylström,"['melodipop', 'swedish idol pop']",40,1886.0
282,Rixton,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'teen pop', 'viral pop']",69,313613.0
283,The Intelligence,"['garage pop', 'garage rock', 'noise rock']",25,3877.0
